Q7312	Franz%20Schubert%20Signature.svg
Q7314	Igor%20Stravinsky%201946%20%28v%29.svg
Q7315	Tchaikovsky%20Signature.svg
Q7317	Giuseppi%20Verdi%20%281813-1901%29%20signature%20%28cropped%29.jpg
Q7322	Columbus%20Signature.svg
Q7324	James%20Cook%20Signature.svg
Q7326	Hernan%20Cortes%20Signature.svg
Q7327	Gagarin%20Signature.svg
Q7328	Vasco%20da%20Gama%20signature%20almirante.svg
Q7349	Joseph%20Haydn%20Signature.svg
Q7351	Signature%20Robert%20Schumann-2.jpg
Q7546	Ingmar%20Bergman%20Signature.png
Q7604	Euler%27s%20signature.svg
Q7721	Autograph%20of%20Louis-Bonaparte%20the%20third.png
Q7723	Napoleon%20II%20signature.svg
Q7724	Strindberg%20namnteckning%201898.svg
Q7726	Signatur%20Joseph%20Bonaparte.PNG
Q7728	Grazia%20Deledda%20signature.jpg
Q7732	Signature%20of%20Louis%20XVI.svg
Q7742	Louis%20XIV%20Signature.svg
Q7747	Putin%20signature.svg
Q7750	Signature%20of%20Louis%20XVII%20of%20France%20-%20july%2018%2C%201815.png
Q7771	Signature%20of%20Louis%20Philippe%20I.png
Q7836	Magritte%2C%20Rene%201898%E2%80%931967%20Signature.svg
Q7841	Alfred%20Jarry%2C%20signature.png
Q7841	Signature%20d%27Alfred%20Jarry.png
Q7934	Frank%20Herbert%20signature.png
Q8003	Sergej%20Eisenstein%20%28signature%29.png
Q8006	Akira%20Kurosawa%20Signature.svg
Q8007	Franklin%20Roosevelt%20Signature.svg
Q8023	Nelson%20Mandela%20Signature.svg
Q8027	Martin%20Luther%20King%20Jr%20Signature2.svg
Q8442	Otto%20vonBismarck%20Signature.svg
Q8446	Firma%20de%20Kurt%20Cobain.svg
Q8479	Peter%20the%20Great%20Signature.svg
Q8573	Signature%20of%20Sun%20Yat%20Sen%20-%20China%20Document%20-%20dark%20version.svg
Q8573	The%20signature%20of%20Sun%20Yat-sun.svg
Q8605	Sim%C3%B3n%20Bol%C3%ADvar%20Signature.svg
Q8704	Walt%20Disney%201942%20signature.svg
Q8743	Thomas%20Alva%20Edison%20Signature.svg
Q8753	Enrico%20Fermi%20signature.svg
Q8763	Fibonacci5.jpg
Q8768	Henry%20Ford%20Signature.svg
Q8863	Signature%20of%20Klaus%20Wowereit.gif
Q8877	Steven%20Spielberg%20Signature.svg
Q8963	Unterschrift%20Kepler.svg
Q9021	Max%20Planck%20signature.svg
Q9041	James%20Watt%20Signature.svg
Q9047	Leibnitz%20signature.svg
Q9049	Noam%20Chomsky%20signature.svg
Q9061	Karl%20Marx%20Signature.svg
Q9068	%D0%91%D0%A1%D0%AD1.%20%D0%90%D0%B2%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84.%20%D0%90%D0%B2%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D1%8B.%205.svg
Q9082	Signatur%20Joseph%20Victor%20von%20Scheffel.JPG
Q9130	Erwin%20Schr%C3%B6dinger%20signature.svg
Q9161	Tito%20signature.svg
Q9191	Firma%20Descartes.svg
Q9215	FreudSignature.svg
Q9235	Hegel%20Unterschrift.svg
Q9312	Immanuel%20Kant%20signature.svg
Q9317	JM%20Keynes%20signature.svg
Q9319	Tintoretto%20autograph.png
Q9327	Firma%20de%20Maupassant.jpg
Q9327	Guy%20de%20Maupasant%20Signature.png
Q9353	John%20Locke%20Signature.svg
Q9358	Friedrich%20Nietzsche%20Signature.svg
Q9364	Jean-Paul%20Sartre%20signature.svg
Q9381	Adam%20Smith%20signature%201783.svg
Q9387	Max%20Weber%27s%20Signature.svg
Q9391	Ludwig%20Wittgenstein%20signature.svg
Q9439	Queen%20Victoria%20Signature.svg
Q9440	Veronese%20autograph.png
Q9554	Martin%20Luther%20Signature.svg
Q9588	Richard%20Nixon%20Signature.svg
Q9640	Lyndon%20B.%20Johnson%20-%20Signature.svg
