Q25338	Saint%20Exupery%20exhibit%20-%20Air%20%26%20Space%20Museum%2C%20Le%20Bourget%2C%20Paris%2C%20France%2C%20absent%20artwork%20and%20not%20subject%20to%20copyright.jpg
Q25338	Saint%20Exupery%20exhibit%20-%20Air%20%26%20Space%20Museum%2C%20Le%20Bourget%2C%20Paris%2C%20France%2C%20absent%20artwork%20and%20not%20subject%20to%20copyright.jpg
Q27912	Struwwelpeter%201.jpg
Q28754	Houghton%20EC65.M6427P.1667aa%20-%20Paradise%20Lost%2C%201667.jpg
Q29424	Fathers%20and%20Sons%20cover%20-%20retouched.jpg
Q29478	Anton%20Kaulbach%20Faust%20und%20MephistoFXD.jpg
Q29478	Richard%20Westall%20-%20Faust%20and%20Lilith.jpg
Q34623	10commandmentsCI.jpg
Q35160	Fragment%20Odyssee%202245%202.jpg
Q35690	Ich%20der%20Kater%202.jpg
Q35714	CountryDoctor.jpg
Q36097	Kafka%20Der%20Prozess%201925.jpg
Q36393	Mao%20zhuxi%20yulu.jpg
Q39939	P.%20Chester%20Beatty%20I%2C%20folio%2013-14%2C%20recto.jpg
Q40185	Dante%20Domenico%20di%20Michelino.jpg
Q40591	Communist-manifesto.png
Q41064	Psalms%20scroll.PNG
Q41542	Dracula-First-Edition-1897.jpg
Q41545	Schiller%20an%20die%20freude%20manuskript%202.jpg
Q41567	Hamlet%20Q2%20TP%201604.jpg
Q42040	Cloisters%20Apocalypse%20-%20Met%2068.174%20f3r%20%28John%20on%20the%20Island%20of%20Patmos%29.jpg
Q43051	Bambi%201942%20trailer-%2000%20min%2029%20s.png
Q43290	Talmud%20set.JPG
Q44276	Flavius%20Josephus%2C%20The%20Jewish%20War%2C%20Cologne%2C%20Ms.%20163.jpg
Q45784	Hans%20Heinrich%20Palitzsch%201974%20poster%20Wozzek.jpg
Q46802	BhagavadGita-19th-century-Illustrated-Sanskrit-Chapter%201.20.21.jpg
Q47228	3rd%20or%204th%20century%20CE%20Kamasutra%2C%20Vatsyayana%2C%2013th-century%20Jayamangala%20commentary%20of%20Yashodhara%2C%20Bendall%20purchase%201885CE%20in%20Nepal%2C%20Sanskrit%2C%20Devanagari.jpg
Q48229	Kafka%20Amerika%201927.jpg
Q48244	Mein%20Kampf%20dust%20jacket.jpeg
Q50948	Eugene%20Onegin%20book%20edition.jpg
Q51628	Giorgione%20-%20Adoration%20of%20the%20Shepherds%20-%20National%20Gallery%20of%20Art.jpg
Q51670	Song%20of%20songs%20Rothschild%20mahzor.jpg
Q54548	Vathek%201786%20title%20page.jpg
Q56045	Grundgesetz%201949.jpg
Q58784	Zentralbibliothek%20Z%C3%BCrich%20Das%20Kapital%20Marx%201867.jpg
Q60220	Vergilius%20Vaticanus%20f45v%20-%20Sibylle%20conduit%20%C3%89n%C3%A9e%20et%20Achates%20au%20temple%20d%27Apollon.jpg
Q62407	Bundesarchiv%20Bild%20183-T0927-019%2C%20Berliner%20Ensemble%2C%20Probe%20Mutter%20Courage.jpg
Q62730	Bavaria%20Filmstudio%20Das%20Boot%204.jpg
Q62879	Charles%20Dickens-A%20Christmas%20Carol-Cloth-First%20Edition%201843.jpg
Q62879	Charles%20Dickens-A%20Christmas%20Carol-Title%20page-First%20edition%201843.jpg
Q63971	Pierre%20Georges%20Jeanniot%20-%20Boule%20de%20Suif%20%28Ollendorff%2C%201902%29.jpg
Q70827	Shuihu.png
Q70827	Shuihu%20zhuan%20-%20juan%2015-19%20-%20page%201.jpg
Q73112	Xenophon%20Anabasis.jpg
Q380377	P%C3%BCnktchen%20und%20Anton.png
Q382941	Fiesco%201783.jpg
Q383835	De%20Kafka%20Brief%20an%20den%20Vater%20001.jpg
Q385279	BambergApocalypse03CoronationOfEmperor.JPG
Q386431	Thomas%20Mann%20Doktor%20Faustus%201947.jpg
Q387223	Deutsch%20Franz%20Jahrb%C3%BCcher%20%28Ruge%20Marx%29%20002.jpg
Q389933	Avare.jpg
Q390779	Strauss%2C%20R.%20Arabella%20%28M%C3%BCnchen%2C%201952%29.JPG
Q392937	Die%20protestantische%20Ethik%20und%20der%20%27Geist%27%20des%20Kapitalismus%20original%20cover.jpg
Q396602	The%20Death%20of%20Ivan%20Ilyich.jpg
Q402673	Gogol%20Palto.jpg
Q404567	Being%20and%20Time%20%28German%20edition%29.jpg
Q412341	Death%20of%20Ajax.jpg
Q425837	Michal%20Weinberg%20and%20Shiri%20Golan%20in%20Mary%20Stuart%20by%20Gadi%20Dagon.jpg
Q425938	Weihnacht.jpg
Q430248	Nostromo1st.jpg
Q432923	Greta%20Pfeil-Sigurd%20Wallen-Gamla%20Heidelberg.jpg
Q443071	Altneuland.jpg
Q443991	L%27altra%20parte%20BY%20Alfred%20Kubin.jpg
Q445552	Alfred%20Andersch%2C%20Der%20Vater%20eines%20M%C3%B6rders%201980.jpg
Q448056	Peter%20Weiss%2C%20Die%20%C3%84sthetik%20des%20Widerstands%201988.jpg
Q448954	HWPh.jpg
Q451200	Bundesarchiv%20Bild%20101III-Wiegand-119-10%2C%20Russland%2C%20Angeh%C3%B6riger%20der%20W-SS%20Totenkopf-Div..jpg
Q451517	Allgood-Kerrigan%201911.jpg
Q451932	Achilles%20och%20Penthesilea.jpg
Q454606	C.F.%20Thiele%20%28after%20Hoffmann%29%20-%20Zinnober%20and%20Rosabelverde.jpg
Q454873	Household%20stories%20Bros%20Grimm%20%28L%20%26%20W%20Crane%29%20tailpiece%20p264.png
Q457003	Paul%20und%20Paula%20MG%201268%20fahrendes%20bett%20singerstrasse%20Berlin%20Entwurf%20Harry%20Leupold%20Foto%20Matthias%20Leupold.jpg
Q457289	Vorzugsausgabe%20der%20Erstauflage%20von%201922.JPG
Q457481	Professor%20Unrat%20Titel.JPG
Q459303	El-perfume.jpg
Q459433	MayGK-SB1.jpg
Q459433	Karl%20May%20-%20Der%20Sohn%20des%20B%C3%A4renj%C3%A4gers%2C%20cover%201900.jpg
Q459592	Joyce%20-%20Dubliners%2C%201914%20-%203690390%20F.jpg
Q460163	Siegfrieds%20death.jpg
Q460583	Pickwickclub%20serial.jpg
Q462251	Snowdrop-Rackham-063.jpg
Q463126	Coriolanus.jpg
Q463126	FirstFolioCoriolanus.jpg
Q463126	Gavin%20Hamilton%20-%20Coriolanus%20Act%20V%2C%20Scene%20III%20edit2.jpg
Q463523	Heinrich%20Vogeler%20-%20Illustration%20Jorinde%20und%20Joringel.jpg
Q464921	Erich%20Maria%20Remarque%2C%20Arc%20de%20triomphe%201946.jpg
Q464928	MS%20A%20la%20recherche%20du%20temps%20perdu.jpg
Q464930	Opera%20in%20the%20Heights%2C%20Die%20Fledermaus%20-%200442.jpg
Q465108	Shi%20Jing.jpg
Q465540	Disegno%20per%20copertina%20di%20libretto%2C%20disegno%20di%20Peter%20Hoffer%20per%20I%20maestri%20cantori%20di%20Norimberga%20%28s.d.%29%20-%20Archivio%20Storico%20Ricordi%20ICON012380.jpg
Q465540	Wagner%20-%20Die%20Meistersinger%20von%20N%C3%BCrnberg%2C%20act%20I%20-%20Walter%27s%20trial%20-%20The%20Victrola%20book%20of%20the%20opera.jpg
Q466271	Freud%201921%20Jenseits%20des%20Lustprinzips.djvu
Q466333	RUB%2015%20%28Leipzig%2C%201949%29%20-%20Schiller%2C%20R%C3%A4uber.jpg
Q466333	Schiller%20Die%20R%C3%A4uber%201781.jpg
