10061352-4	Behnhaus
10061676-8	Junge_Akademie
1006214-2	Maatschappij_der_Nederlandse_Letterkunde
10062311-6	Deutsches_Tagebucharchiv
10062421-2	Landgericht_Bochum
1006246-4	Gobelin-Manufaktur
10062567-8	Universit%C3%A4t_Tilburg
1006261-0	Martin_von_Wagner_Museum
1006267-1	Matica_hrvatska
1006268-3	Matica_slovensk%C3%A1
1006285-3	Max-Planck-Institut_f%C3%BCr_ausl%C3%A4ndisches_und_internationales_Privatrecht
10063298-1	Galerie_Kovacek
1006371-7	Landesverein_Badische_Heimat
1006372-9	Bayerischer_Landesverein_f%C3%BCr_Heimatpflege
1006404-7	Landeszentrale_f%C3%BCr_politische_Bildung_Nordrhein-Westfalen
1006454-0	Institut_f%C3%BCr_%C3%96sterreichische_Geschichtsforschung
10065153-7	Leibniz-Institut_f%C3%BCr_L%C3%A4nderkunde
10065511-7	Hermann-Hesse-Museum
10065809-X	Orchester_des_Opernhauses_Halle
1006648-2	%C3%96sterreichisches_Lateinamerika-Institut
10066605-X	Stiftung_Ettersberg
10067358-2	Freie_Akademie_der_K%C3%BCnste_zu_Leipzig
10067378-8	Norwegisches_Polarinstitut
1006766-8	Schweizerisches_Institut_f%C3%BCr_Kunstwissenschaft
10067837-3	Unfallkasse_Baden-W%C3%BCrttemberg
1006810-7	Munch-Museum_Oslo
1006819-3	K%C3%B6nigliches_Museum_f%C3%BCr_Zentral-Afrika
1006821-1	Mus%C3%A9e_d%E2%80%99art_moderne_de_la_Ville_de_Paris
1006828-4	Mus%C3%A9e_Jenisch
1006831-4	Mus%C3%A9e_Cernuschi
10068371-X	Gymnasium_Kundmanngasse
10068378-2	Parufamet
10068576-6	Mouse_on_Mars
1006859-4	Nordisches_Museum
1006900-8	Leo_Baeck_Institut
1006939-2	Kantonsbibliothek_Graub%C3%BCnden
10069457-3	K%C3%BCnstlerkreis_der_Medailleure_M%C3%BCnchen
10069472-X	Justizvollzugsanstalt_Kaisheim
10069628-4	Ober%C3%B6sterreichische_Landesmuseen
1006993-8	Yad_Vashem
10070261-2	Charit%C3%A9
10070422-0	Mauthausen_Komitee_%C3%96sterreich
1007050-3	Real_Sitio_de_San_Lorenzo_de_El_Escorial
1007052-7	Deutsche_Mozart-Gesellschaft
1007069-2	Kunstsammlungen_der_Stadt_N%C3%BCrnberg
10070953-9	Schloss_F%C3%BCrstenberg_%28F%C3%BCrstenberg_an_der_Weser%29
10071074-8	Deutschlandradio
10071132-7	Estnische_Botschaft_in_Berlin
10071510-2	Serotonin_%28H%C3%B6rspielmacher%29
10071544-8	Berthold_Leibinger_Stiftung
10071622-2	Gemeinsame_Kommission_f%C3%BCr_die_Erforschung_der_j%C3%BCngeren_Geschichte_der_deutsch-russischen_Beziehungen
10071719-6	Deutsches_Musikautomaten-Museum
10071730-5	Dresdner_Volksbank_Raiffeisenbank
10072099-7	Weiterbildungszentrum_Ingelheim
1007245-7	Deutscher_Katecheten-Verein
10072451-6	Kleist_Forum
10072602-1	Universit%C3%A4tsbibliothek_Eichst%C3%A4tt-Ingolstadt
10072785-2	Helmut-Schmidt-Universit%C3%A4t%2FUniversit%C3%A4t_der_Bundeswehr_Hamburg
10073134-X	Br%C3%B6nner-Umschau-Gruppe
10073644-0	Politisches_Archiv_des_Ausw%C3%A4rtigen_Amts
10073682-8	Universit%C3%A4ts-_und_Landesbibliothek_Darmstadt
10073845-X	Bayerisches_Staatsministerium_f%C3%BCr_Wirtschaft%2C_Landesentwicklung_und_Energie
1007403-X	Institut_de_recherche_et_d%E2%80%99histoire_des_textes
1007416-8	Egmont-Institut
1007430-2	Istituto_Svizzero_di_Roma
10074402-3	Kein_%26_Aber
10074475-8	Keramion
1007496-X	Sz%C3%A9ch%C3%A9nyi-Nationalbibliothek
1007504-5	Rote_Armee_Fraktion
10075190-8	Kunstforum_Ostdeutsche_Galerie
10075219-6	Universit%C3%A4t_Neapel_L%E2%80%99Orientale
1007556-2	Museum_zu_Allerheiligen
1007559-8	Museum_of_Modern_Art
1007560-4	Ashmolean_Museum
1007571-9	Museum_of_the_American_Indian
1007582-3	Statens_Museum_for_Kunst
1007583-5	K%C3%B6nigliches_Museum_der_Sch%C3%B6nen_K%C3%BCnste_%28Antwerpen%29
10075855-1	Hochschule_der_K%C3%BCnste_Bern
1007668-2	Institut_f%C3%BCr_Volkskunde
1007685-2	Institut_f%C3%BCr_Angewandte_Wirtschaftsforschung
10077316-3	G%C3%BCnter-Grass-Stiftung
10077331-X	Brasilianische_Botschaft_in_Berlin
1007734-0	Royal_Ontario_Museum
1007755-8	Museum_f%C3%BCr_V%C3%B6lkerkunde_zu_Leipzig
10077583-4	Klaus_Tschira_Stiftung
1007763-7	Imperial_War_Museum
1007765-0	Zo%C3%B6logisch_Museum_Amsterdam
1007772-8	Museumsgesellschaft_Z%C3%BCrich
1007799-6	Historische_Kommission_zur_Erforschung_des_Pietismus
1007806-X	Kommission_f%C3%BCr_geschichtliche_Landeskunde_in_Baden-W%C3%BCrttemberg
1007827-7	Deutsches_Museum
1007840-X	Allgemeine_Musik-Gesellschaft_Z%C3%BCrich
1007841-1	Internationales_Musikinstitut_Darmstadt
1007842-3	Musikkollegium_Winterthur
1007857-5	Weltgesundheitsorganisation
1007888-5	Klinikum_rechts_der_Isar
1007890-3	St_Patrick%E2%80%99s_College%2C_Maynooth
10079218-2	Kunsthalle_Ziegelh%C3%BCtte
1007926-9	Cleveland_Museum_of_Art
1007928-2	Museum_Boijmans_Van_Beuningen
1007945-2	Bernisches_Historisches_Museum
1007948-8	American_Museum_of_Natural_History
10079528-6	Museum_Moderner_Kunst_K%C3%A4rnten
1007972-5	Historische_Kommission_f%C3%BCr_Pommern
1007973-7	Historische_Kommission_f%C3%BCr_Schlesien
10079910-3	Zentrum_Paul_Klee
1007998-1	Internationaler_Musikrat
1008019-3	Moskauer_Gesellschaft_der_Naturforscher
10081211-9	Museum_Schloss_L%C3%BCbben
1008129-X	Italienisches_Kulturinstitut_K%C3%B6ln
10081426-8	Lehmstedt_Verlag
10081554-6	Institute_for_Law_and_Finance
10081593-5	Deutsche_Internationale_Schule_Johannesburg
1008187-2	IBBY
10082176-5	Gottfried-Benn-Gesellschaft
1008219-0	Schwedisches_Nationalmuseum
10082817-6	Gilde_freiheitlicher_B%C3%BCcherfreunde
1008284-0	Nyland-Stiftung
10083148-5	St%C3%A4dtisches_Gymnasium_Selm
10083352-4	Koch%2C_Neff_und_Volckmar
10083443-7	Westf%C3%A4lisches_Pferdemuseum_M%C3%BCnster
1008371-6	Serbisches_Nationalmuseum
1008386-8	Nationalmuseum_Warschau
10084030-9	Museum_im_Kleihues-Bau
